,timestep (1d),Proton_density,Electron_density
0,2012-01-07T00:03:00,6.04,3.8121202
1,2012-01-07T12:03:00,3.9300001,2.8883471
2,2012-01-08T00:03:00,3.345,2.6903992
3,2012-01-08T12:03:00,4.0100001,3.2777518
4,2012-01-09T00:03:00,5.595,3.9420097
5,2012-01-09T12:03:00,5.6299999,4.2213032
6,2012-01-10T00:03:00,4.875,3.5532996
7,2012-01-10T12:03:00,3.79,3.3382158
8,2012-01-11T00:03:00,4.8200002,3.137158
9,2012-01-11T12:03:00,3.41,2.7153527
10,2012-01-16T12:03:00,8.8649998,6.4369352
11,2012-01-17T00:03:00,5.7650001,4.049045
12,2012-01-17T12:03:00,4.2550001,3.0829349
13,2012-01-18T00:03:00,3.465,2.9770029
14,2012-01-18T12:03:00,3.79,2.9950109
15,2012-01-19T00:03:00,4.145,3.4852892
16,2012-01-19T12:03:00,4.895,3.318809
17,2012-01-20T00:03:00,5.5500002,4.3455146
18,2012-01-20T12:03:00,6.8699999,4.1872206
19,2012-01-21T00:03:00,3.9300001,2.581544
20,2012-01-21T12:03:00,9.895,4.9679487
21,2012-01-22T00:03:00,12.92,5.3275164
22,2012-01-23T00:03:00,3.6949999,6.5602833
23,2012-01-23T12:03:00,4.8399999,2.9785467
24,2012-01-24T00:03:00,3.295,3.7797055
25,2012-01-24T12:03:00,3.6999999,2.8439013
26,2012-01-25T00:03:00,3.48,3.9344305
27,2012-01-25T12:03:00,5.1799998,3.6211888
28,2012-01-26T00:03:00,2.0799999,1.9150131
29,2012-01-26T12:03:00,3.9900001,2.8585079
30,2012-01-27T00:03:00,1.43,1.4205403
31,2012-01-27T12:03:00,2.9549999,2.1636272
32,2012-01-28T00:03:00,2.49,1.8786625
33,2012-01-28T12:03:00,3.24,2.771174
34,2012-01-29T00:03:00,3.8000001,3.4544738
35,2012-01-29T12:03:00,3.4400001,2.2342019
36,2012-01-30T00:03:00,3.8,2.3790275
37,2012-01-30T12:03:00,4.675,2.8171061
38,2012-01-31T00:03:00,13.98,9.2952516
39,2012-01-31T12:03:00,9.6900001,5.4615541
40,2012-02-07T12:03:00,5.2850001,4.130156
41,2012-02-08T00:03:00,5.5550001,4.7048241
42,2012-02-08T12:03:00,3.465,2.7515864
43,2012-02-10T00:03:00,6.355,5.143599
44,2012-02-10T12:03:00,4.6400001,4.0122985
45,2012-02-11T00:03:00,5.845,4.2670159
46,2012-02-11T12:03:00,4.52,3.5256233
47,2012-02-12T00:03:00,7.5699999,7.0766742
48,2012-02-12T12:03:00,7.7049999,6.052997
49,2012-02-13T00:03:00,6.385,4.0422671
50,2012-02-13T12:03:00,9.0700002,5.4485579
51,2012-02-14T00:03:00,23.91,11.965613
52,2012-02-14T12:03:00,12.59,8.4222109
53,2012-02-15T00:03:00,3.9050001,2.7724041
54,2012-02-15T12:03:00,6.115,2.723748
55,2012-02-16T00:03:00,6.085,3.658175
56,2012-02-16T12:03:00,13.045,7.2587836
57,2012-02-17T00:03:00,5.3600001,3.9934971
58,2012-02-17T12:03:00,8.5999999,5.864078
59,2012-02-18T00:03:00,6.5049999,3.1377393
60,2012-02-18T12:03:00,8.9250002,7.6214156
61,2012-02-19T00:03:00,22.615,14.879977
62,2012-02-19T12:03:00,3.11,2.3941805
63,2012-02-20T00:03:00,9.9450002,6.3388278
64,2012-02-20T12:03:00,3.1950001,2.5324581
65,2012-02-21T00:03:00,2.4450001,2.1788872
66,2012-02-21T12:03:00,2.89,2.5229349
67,2012-02-22T00:03:00,5.155,4.036966
68,2012-02-22T12:03:00,4.7849998,4.6491046
69,2012-02-23T00:03:00,2.505,1.7346958
70,2012-02-24T00:03:00,6.075,3.4784638
71,2012-02-24T12:03:00,5.2949998,4.937013
72,2012-02-25T00:03:00,5.1299999,3.6461006
73,2012-02-25T12:03:00,7.77,4.9307929
74,2012-02-26T00:03:00,5.0650001,3.6980435
75,2012-02-26T12:03:00,3.875,3.1229452
76,2012-02-27T00:03:00,17.025,12.793236
77,2012-02-27T12:03:00,10.485,11.035278
78,2012-02-28T00:03:00,5.575,3.025857
79,2012-02-28T12:03:00,5.6100001,5.3996691
80,2012-02-29T00:03:00,4.425,3.48928
81,2012-02-29T12:03:00,5.0149999,2.6637782
82,2012-03-01T00:03:00,4.4749999,3.7573559
83,2012-03-01T12:03:00,4.9950001,4.7822582
84,2012-03-02T00:03:00,3.41,2.4769241
85,2012-03-02T12:03:00,2.9250001,2.0288033
86,2012-03-03T00:03:00,4.22,2.2946899
87,2012-03-11T12:03:00,2.86,2.2790703
88,2012-03-12T00:03:00,8.0250001,6.4655821
89,2012-03-12T12:03:00,29.945,21.031818
90,2012-03-13T00:03:00,1.125,1.37507
91,2012-03-13T12:03:00,0.38,0.73067562
92,2012-03-14T00:03:00,0.66499999,0.76113723
93,2012-03-14T12:03:00,1.02,0.85997558
94,2012-03-15T00:03:00,0.90000001,1.0601821
95,2012-03-15T12:03:00,5.5799999,4.0112428
96,2012-03-16T00:03:00,4.8399999,3.2636892
97,2012-03-16T12:03:00,1.67,1.6010344
98,2012-03-17T00:03:00,2.0699999,1.4886492
99,2012-03-17T12:03:00,2.4450001,1.6711172
100,2012-03-18T00:03:00,2.3,1.1503317
