2023-01-10 17:18:36,432 INFO    MainThread:26671 [wandb_setup.py:_flush():68] Configure stats pid to 26671
2023-01-10 17:18:36,433 INFO    MainThread:26671 [wandb_setup.py:_flush():68] Loading settings from /home/peppe/.config/wandb/settings
2023-01-10 17:18:36,433 INFO    MainThread:26671 [wandb_setup.py:_flush():68] Loading settings from /home/peppe/Desktop/Università/Projects/Solar_wind_density_forecasting/wandb/settings
2023-01-10 17:18:36,433 INFO    MainThread:26671 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-10 17:18:36,433 INFO    MainThread:26671 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-01-10 17:18:36,433 INFO    MainThread:26671 [wandb_init.py:_log_setup():476] Logging user logs to /home/peppe/Desktop/Università/Projects/Solar_wind_density_forecasting/wandb/run-20230110_171836-1quh2c4y/logs/debug.log
2023-01-10 17:18:36,433 INFO    MainThread:26671 [wandb_init.py:_log_setup():477] Logging internal logs to /home/peppe/Desktop/Università/Projects/Solar_wind_density_forecasting/wandb/run-20230110_171836-1quh2c4y/logs/debug-internal.log
2023-01-10 17:18:36,433 INFO    MainThread:26671 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f3b41a46620>
2023-01-10 17:18:36,434 INFO    MainThread:26671 [wandb_init.py:init():516] calling init triggers
2023-01-10 17:18:36,434 INFO    MainThread:26671 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'lr': 1e-05, 'wd': 0.01, 'Scheduler': 'NO', 'History': 5, 'Delay': 2, 'Time_resolution': Timedelta('1 days 00:00:00'), 'epochs': 100, 'ConvLSTM_drop': 0.5, 'batch_size': 4, 'firstConv': 1, 'secondConv': 8, 'thirdConv': 16, 'kernel': (3, 3), 'drop': 0.3, 'lastConv': 32, 'hidden': 18432, 'hidden_output': 256, 'LSTM_output': 768, 'n_layers_LSTM': 5}
2023-01-10 17:18:36,434 INFO    MainThread:26671 [wandb_init.py:init():569] starting backend
2023-01-10 17:18:36,434 INFO    MainThread:26671 [wandb_init.py:init():573] setting up manager
2023-01-10 17:18:36,439 INFO    MainThread:26671 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-01-10 17:18:36,442 INFO    MainThread:26671 [wandb_init.py:init():580] backend started and connected
2023-01-10 17:18:36,454 INFO    MainThread:26671 [wandb_run.py:_label_probe_notebook():1116] probe notebook
2023-01-10 17:18:36,455 INFO    MainThread:26671 [wandb_run.py:_label_probe_notebook():1126] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-01-10 17:18:36,455 INFO    MainThread:26671 [wandb_init.py:init():658] updated telemetry
2023-01-10 17:18:36,463 INFO    MainThread:26671 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-10 17:18:37,282 INFO    MainThread:26671 [wandb_run.py:_on_init():2006] communicating current version
2023-01-10 17:18:37,372 INFO    MainThread:26671 [wandb_run.py:_on_init():2010] got version response 
2023-01-10 17:18:37,372 INFO    MainThread:26671 [wandb_init.py:init():728] starting run threads in backend
2023-01-10 17:18:39,692 INFO    MainThread:26671 [wandb_run.py:_console_start():1986] atexit reg
2023-01-10 17:18:39,692 INFO    MainThread:26671 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-01-10 17:18:39,692 INFO    MainThread:26671 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-01-10 17:18:39,692 INFO    MainThread:26671 [wandb_run.py:_redirect():1931] Redirects installed.
2023-01-10 17:18:39,692 INFO    MainThread:26671 [wandb_init.py:init():765] run started, returning control to user process
2023-01-10 17:23:22,068 INFO    MainThread:26671 [wandb_run.py:_finish():1753] finishing run small_sunbirds/A CNN-LSTM framework for the solar wind density forecasting/1quh2c4y
2023-01-10 17:23:22,068 INFO    MainThread:26671 [jupyter.py:save_history():448] not saving jupyter history
2023-01-10 17:23:22,068 INFO    MainThread:26671 [jupyter.py:save_ipynb():378] not saving jupyter notebook
2023-01-10 17:23:22,068 INFO    MainThread:26671 [wandb_init.py:_jupyter_teardown():408] cleaning up jupyter logic
2023-01-10 17:23:22,068 INFO    MainThread:26671 [wandb_run.py:_atexit_cleanup():1955] got exitcode: 0
2023-01-10 17:23:22,068 INFO    MainThread:26671 [wandb_run.py:_restore():1938] restore
2023-01-10 17:23:22,068 INFO    MainThread:26671 [wandb_run.py:_restore():1944] restore done
2023-01-10 17:23:25,089 INFO    MainThread:26671 [wandb_run.py:_footer_history_summary_info():3408] rendering history
2023-01-10 17:23:25,091 INFO    MainThread:26671 [wandb_run.py:_footer_history_summary_info():3440] rendering summary
2023-01-10 17:23:25,100 INFO    MainThread:26671 [wandb_run.py:_footer_sync_info():3364] logging synced files
