#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NSSDC
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data
#     DATA_TYPE                       HRO>Definitive 5minute
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux
#     DATA_VERSION                    1
#     TITLE                           Near-Earth Heliosphere Data (OMNI)
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    
#     MODS                            created November 2006;
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                                     Time tags in CDAWeb version were modified in March 2005 to use the
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's
#                                     original convention of start-of-average time tags.
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01
#     PI_NAME                         J.H. King, N. Papatashvilli
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC
#     GENERATION_DATE                 Ongoing
#     ACKNOWLEDGEMENT                 NSSDC
#     ADID_REF                        NSSD0110
#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Magnetic Fields (space)
#                                     Electric Fields (space)
#     GENERATED_BY                    King/Papatashvilli
#     TIME_RESOLUTION                 5 minute
#     LOGICAL_SOURCE                  omni_hro_5min
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             
#     LINK_TEXT                       Additional information for all parameters are available from
#                                     Additional data access options available at
#                                     Recent omni high resolution updates
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01
#                                     omni_hro_5min_20120101_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time base for time binned measurements, the time is the center time of each bin.
#       NOTES:  times of binned data
#  2. Timeshift (seconds)
#  3. uncertainty of mean of Timeshift
#  4. uncertainty of mean of Timeshift
#  5. Magnitude of avg. field vector (nT) (last currently-available OMNI B-field data Sep 07, 2022)
#  6. uncertainty of mean of Magnitude of avg. field vector
#  7. uncertainty of mean of Magnitude of avg. field vector
#  8. Flow Speed (km/s), GSE
#  9. uncertainty of mean of flow speed, GSE
# 10. uncertainty of mean of flow speed, GSE
# 11. Proton density (n/cc) (last currently-available OMNI plasma data Sep 07, 2022)
# 12. uncertainty of mean of Proton density
# 13. uncertainty of mean of Proton density
# 14. Proton flux >10 MeV (1/(SQcm-ster-s)) (all fluxes from GOES 1986/001-2020/063)
# 15. uncertainty of mean of PROT Flux >10 MEV
# 16. uncertainty of mean of PROT Flux >10 MEV
# 17. Time Binning of Timeshift
# 18. Time Binning of Magnitude of avg. field vector
# 19. Time Binning of flow speed, GSE
# 20. Time Binning of Proton density
# 21. Time Binning of PROT Flux >10 MEV
#
EPOCH_BIN_yyyy-mm-ddThh:mm:ss.sssZ,TIMESHIFT_seconds,TIMESHIFT_CNTS,TIMESHIFT_CNTS,MAG_AVG_B-VECTOR_nT,MAG_AVG_B-VECTOR_CNTS,MAG_AVG_B-VECTOR_CNTS,FLOW_SPEED__GSE_km/s,FLOW_SPEED__GSE_CNTS,FLOW_SPEED__GSE_CNTS,PROTON_DENSITY_n/cc,PROTON_DENSITY_CNTS,PROTON_DENSITY_CNTS,PROTONS>10_MEV_1/(SQcm-ster-s),PROTONS>10_MEV_CNTS,PROTONS>10_MEV_CNTS,#_OF_TIMESHIFT_CNTS,#_OF_MAG_AVG_B-VECTOR_CNTS,#_OF_FLOW_SPEED__GSE_CNTS,#_OF_PROTON_DENSITY_CNTS,#_OF_PROTONS>10_MEV_CNTS
2012-01-01T00:03:00.000Z,999999.00,999999.00,999999.00,2.8750000,9999.9902,9999.9902,368.35001,99999.898,99999.898,6.5650001,999.98999,999.98999,0.13500000,99999.992,99999.992,0.0000000,2.0000000,2.0000000,2.0000000,2.0000000
2012-01-01T00:09:00.000Z,2962.0000,999999.00,999999.00,3.5699999,9999.9902,9999.9902,370.50000,99999.898,99999.898,6.7300000,999.98999,999.98999,0.15000001,99999.992,99999.992,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
2012-01-01T00:15:00.000Z,3172.0000,999999.00,999999.00,3.8900001,9999.9902,9999.9902,370.70001,99999.898,99999.898,7.1100001,999.98999,999.98999,0.12000000,99999.992,99999.992,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
2012-01-01T00:21:00.000Z,3051.0000,999999.00,999999.00,4.2900000,9999.9902,9999.9902,371.89999,99999.898,99999.898,6.4400001,999.98999,999.98999,0.13000000,99999.992,99999.992,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
2012-01-01T00:27:00.000Z,3247.0000,999999.00,999999.00,4.3200002,9999.9902,9999.9902,376.89999,99999.898,99999.898,7.5300002,999.98999,999.98999,0.12000000,99999.992,99999.992,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
2012-01-01T00:33:00.000Z,3275.0000,999999.00,999999.00,4.3750000,9999.9902,9999.9902,381.39999,99999.898,99999.898,8.8049998,999.98999,999.98999,0.15500000,99999.992,99999.992,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000
2012-01-01T00:39:00.000Z,3263.0000,999999.00,999999.00,4.9699998,9999.9902,9999.9902,378.10001,99999.898,99999.898,8.2700005,999.98999,999.98999,0.23000000,99999.992,99999.992,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
2012-01-01T00:45:00.000Z,3540.0000,999999.00,999999.00,4.9600000,9999.9902,9999.9902,379.60001,99999.898,99999.898,8.5400000,999.98999,999.98999,0.18000001,99999.992,99999.992,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
2012-01-01T00:51:00.000Z,2731.0000,999999.00,999999.00,5.2800002,9999.9902,9999.9902,382.10001,99999.898,99999.898,8.2600002,999.98999,999.98999,0.18000001,99999.992,99999.992,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
2012-01-01T00:57:00.000Z,2678.0000,999999.00,999999.00,5.1799998,9999.9902,9999.9902,381.60001,99999.898,99999.898,7.9499998,999.98999,999.98999,0.11000000,99999.992,99999.992,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
2012-01-01T01:03:00.000Z,2699.0000,999999.00,999999.00,4.5550001,9999.9902,9999.9902,380.15001,99999.898,99999.898,8.5250001,999.98999,999.98999,0.16500000,99999.992,99999.992,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000
2012-01-01T01:09:00.000Z,2787.0000,999999.00,999999.00,4.4699998,9999.9902,9999.9902,380.50000,99999.898,99999.898,8.3999996,999.98999,999.98999,0.16000000,99999.992,99999.992,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
2012-01-01T01:15:00.000Z,2923.0000,999999.00,999999.00,4.3600001,9999.9902,9999.9902,381.60001,99999.898,99999.898,8.4899998,999.98999,999.98999,0.16000000,99999.992,99999.992,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
2012-01-01T01:21:00.000Z,2940.0000,999999.00,999999.00,4.1500001,9999.9902,9999.9902,382.60001,99999.898,99999.898,8.8999996,999.98999,999.98999,0.18000001,99999.992,99999.992,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
2012-01-01T01:27:00.000Z,2996.0000,999999.00,999999.00,4.0500002,9999.9902,9999.9902,383.50000,99999.898,99999.898,9.3000002,999.98999,999.98999,0.20000000,99999.992,99999.992,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
2012-01-01T01:33:00.000Z,3107.0000,999999.00,999999.00,4.1250000,9999.9902,9999.9902,382.45000,99999.898,99999.898,9.1100001,999.98999,999.98999,0.12000000,99999.992,99999.992,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000
2012-01-01T01:39:00.000Z,3155.0000,999999.00,999999.00,4.5000000,9999.9902,9999.9902,379.79999,99999.898,99999.898,8.8900003,999.98999,999.98999,0.13000000,99999.992,99999.992,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
2012-01-01T01:45:00.000Z,3096.0000,999999.00,999999.00,4.4400001,9999.9902,9999.9902,379.10001,99999.898,99999.898,8.8100004,999.98999,999.98999,0.14000000,99999.992,99999.992,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
